SL,MODEL,CPU,RAM,HDD,DRIVES,SCREEN,VGA,FP,OS,PRICE
38,MSI GF 63C-9RCX -658 BLK,CORE i7 9750 H – 2.6 GHZ,16GB,512GBSSD,,15.6 FHD,4GB GTX1050TI,,Win10,1171
39,MSI MODERN 14 A10RB-611,CORE I7 -10510U 1.8 GHZ,16GB,512SSD,,14.0 FHD,2GB NVIDIA,,Win10,1212
40,MSI GF 63C-9SC -657 BLK,CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,15.6 FHD,4GB GTX1650MQ,,Win10,1288
41,MSI GF 75-9S7 -274 BLK,CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,17.3 FHD,4GB GTX1650,,Win10,1342
42,MSI PRESTIGE 14 10SC-001 (P),CORE I7 -10710U 1.1 GHZ,16GB,1TBSSD,,14.0 FHD,4GB GTX1650MQ,,Win10,1493
43,MSI PRESTIGE 15 A10SC-063 (P),CORE I7 -10710U 1.1 GHZ,16GB,1TBSSD,,15.6 FHD,4GB GTX1650MQ,,Win10,1507
44,MSI GL63 9S7-16P732-695 (P),CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,15.6 FHD 120HZ,6GB GTX1660TI,,Win10,1589
45,MSI GL65 9SD 9S7-16U512-030 (P),CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,15.6 FHD 120HZ,6GB GTX1660TI,,Win10,1616
46,MSI GP 75 LEOPARD 9SD-607 BLK (P),CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,17.3 FHD 144HZ,6GB GTX1660TI,,Win10,1781
47,MSI GP 65 LEOPARD 9SE-229 BLK (P),CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,15.6 FHD 144HZ,6GB RTX2060,,Win10,1932
48,MSI GP 75 LEOPARD 9SE-604 BLK (P),CORE i7 9750 H – 2.6 GHZ,16GB,1TB+256S,,17.3 FHD 144HZ,6GB RTX2060,,Win10,2082
49,MSI GS 65 STEALTH 9SF-633 BLK (P),CORE i7 9750 H – 2.6 GHZ,16GB,1TBSSD,,15.6 FHD 240HZ,8GB RTX2070MQ,,Win10,2685
50,MSI GS 75 STEALTH 9S5-445 BLK (P),CORE i7 9750 H – 2.6 GHZ,32GB,2TBSSD,,17.3 FHD 144HZ,8GB RTX2080MQ,,Win10,3644
51,MSI GT76 TITAN DT 9SG -202,CORE i9 9900 K – 3.6 GHZ,64GB,1TB+1TBS,,17.3 FHD 240HZ,8GB RTX2080,,Win10,5534
54,HP STREAM X360 11-AG001NE-3RP85EA -W,CELERON N 3060 1.6 GHZ,4GB,32GB,,"11.6"" TOUCH N FLIP",INTEL HD,,Win10,329
56,HP 15-DA0130NE-7VT36EA-SILVER,CELERON N4000 1.10 GHZ,4GB,1TB,,"15.6"" LED",INTEL HD,,Win10,356
57,HP 15-DW0015NE-8UF32EA-SILVER,CORE i3 7020U 2.3,4GB,1TB,,15.6 HD,INTEL HD,,Win10,425
58,HP 15-DA1002NE-5KU15EA SILVER,CORE i3 8145U 2.1,4GB,1TB,DVD±RW,15.6 HD,INTEL HD,,Win10,452
59,HP 15-DA1090NE-7VW65EA SILVER,CORE i3 8145U 2.1,8GB,1TB,DVD±RW,15.6 HD,INTEL HD,,Win10,466
60,HP 15-DA1013NE-5QX22EA-SILVER,CORE i5 8265U 1.6,8GB,1TB,DVD±RW,"15.6"" FHD",2GB NVIDIA,,Win10,610
61,HP 15-DA1000NE-4TZ73EA-GOLD,CORE i7 8565U 1.8 GHZ,8GB,1TB,DVD±RW,"15.6"" FHD",2GB NVIDIA,,Win10,747
62,HP 15-DA1092NE-7VY30EA-GOLD,CORE i7 8565U 1.8 GHZ,12GB,1TB+128S,DVD±RW,"15.6"" FHD",2GB NVIDIA,,Win10,829
63,HP PAVIL X360 14-DH0000NE 6RR81EA-BLU,CORE i3 8145U 2.1 GHZ,4GB,256SSD,,14 FHD TOUCH-FLIP,INTEL HD,,Win10,664
64,HP PAVILION X360 14-DH0001NE 6RT56EA,CORE i5 8265U 1.6 GHZ,8GB,256SSD,,14 FHD TOUCH-FLIP,INTEL HD,FP,Win10,801
65,HP PAVILION X360 14-CD1004NE 5QX08EA,CORE i5 8265U 1.6 GHZ,8GB,1TB+128S,,14 FHDTOUCH-FLIP,2GB NVIDIA,FP,Win10,884
66,HP PAVILION X360 14-DH0002NE 6RM78EA,CORE i5 8265U 1.6 GHZ,8GB,1TB+128S,,14 FHDTOUCH-FLIP,2GB NVIDIA,FP,Win10,884
67,HP PAVILON GAMING 15-CX0043NE-8AU41EA,CORE i5 8300 H – 2.3 GHZ,16GB,1TB+256S,,15.6 FHD,4GB GTX1050TI,,Win10,966
68,HP PAVILON GAMING 15-DK0005NE-7KB91EA,CORE i7 9750 H – 2.6 GHZ,8GB,1TB+128S,15.6 FHD,4GB GTX1650,,,Win10,1171
69,DELL INSPIRON 3580-1235 - BLK,CORE i5 8265U 1.6 GHZ,4GB,1TB,DVD±RW,15.6 FHD,2GB RADEON,,Win10,589
70,DELL INSPIRON 3580-1235 -SILVER,CORE i5 8265U 1.6 GHZ,4GB,1TB,DVD±RW,15.6 FHD,2GB RADEON,,Win10,589
71,DELL INSPIRON 5482-1238 SLR,CORE i3 8145U 2.3 GHZ,4GB,1TB HDD,,14.0 FHD TOUCH- FLIP,INTEL HD,FP,Win10,664
72,DELL INSPIRON 5482-1239 SLR,CORE i3 8145U 2.3 GHZ,4GB,256SSD,,14.0 FHD TOUCH- FLIP,INTEL HD,FP,Win10,664
73,DELL INSPIRON 3493-1315 SLR,CORE i7 1065G7 1.3 GHZ,8GB,512SSD,,14.0 FHD,2GB NVIDIA,,Win10,870
74,DELL INSPIRON 5480-1267 SLRC,CORE i7 8550U 1.8 GHZ,16GB,1TB+128S,,"14.0"" FHD",2GB NVIDIA,,Win10,1021
75,DELL G3-1242- BLK,CORE i5 8300 H – 2.3 GHZ,8GB,1TB,,15.6 FHD,4GB GTX1050,,Win10,918
78,DELL G3-1243- BLK,CORE i7 8750 H – 2.2 GHZ,8GB,1TB+128S,,15.6 FHD,4GB GTX1050TI,,Win10,1123
79,DELL XPS 13-1250-SLRC,CORE i5 8265U 1.6 GHZ,8GB,256SSD,,"13.3""FHD",INTEL HD,FP,Win10,1171
80,DELL XPS 13-1251 SLR,CORE i7 8565U 1.8 GHZ,16GB,1TBSSD,,13.3 TOUCH UHD,INTEL HD,FP,Win10,2027
81,DELL XPS 13-1312 SLR,CORE i7 1065G7 1.3 GHZ,16GB,512SSD,,"13.4""FHD TOUCH FLIP",INTEL HD,FP,Win10,2027
82,DELL XPS 13-1311 SLR,CORE i7 1065G7 1.3 GHZ,32GB,1TBSSD,,"13.4""FHD TOUCH FLIP",INTEL HD,FP,Win10,2781
83,DELL ALIENWARE 15-1271 SLR-ENG,CORE i7 8750 H – 2.2 GHZ,16GB,1TB+256S,,15.6 FHD 144HZ,6GB GTX1060,,Win 10,1589
84,LENOVO S130 81J1008FUE -GREY-ENG,CELERON N 4000 1.1 GHZ,4GB,500GB,,"11.6"" HD",INTEL HD,,Win10,315
85,LENOVO I 330S - 81F400QEAX-GREY,CORE i3 8130U 2.2 GHZ,4GB,1TB,,"14.0""HD",INTEL HD,,Win10,425
86,LENOVO I 320 - 81BG00R6AX -BLK,CORE i3 8130U 2.2 GHZ,4GB,2TB,DVD±RW,15.6 HD,INTEL HD,,Win10,452
87,LENOVO I 130 - 81H700A8AX BLK,CORE i7 8550U 1.8 GHZ,8GB,1TB,DVD±RW,15.6 HD,2GB NVIDIA,,Win10,692
88,LENOVO I 330S -81F401AMAX BLUE,CORE i5 8250U 1.6 GHZ,8GB,512SSD,,14.0 FHD,2GB RADEON,,Win10,692
89,LENOVO I 330 - 81DE00PDAX GRY,CORE i5 8250U 1.6 GHZ,8GB,2TB,DVD±RW,15.6 HD,4GB RADEON,,Win10,705
90,LENOVO I 330S -81F400VFAX GRY,CORE i5 8250U 1.6 GHZ,8GB,1TB+128S,,14.0 HD,4GB RADEON,,Win10,719
91,LENOVO I S145 - 81MU007YAX BLK,CORE i7 8565U – 1.8 GHZ,8GB,1TB+128S,,14.0 FHD,2GB NVIDIA,,Win10,801
92,LENOVO I 330S - 81F501F3AX GRY,CORE i7 8550U 1.8 GHZ,12GB,1TB+16S,,15.6 FHD IPS,4GB RADEON,,Win10,842
93,LENOVO S530 - 81J7007EAX COPPER-GOLD,CORE i5 8265U 1.6 GHZ,8GB,512SSD,,13.3 FHD,2GB NVIDIA,FP,Win10,952
94,LENOVO I 530S - 81EU00PKAX GRY,CORE i7 8550U – 1.8 GHZ,8GB,512SSD,,"14""FHD",2GB NVIDIA,FP,Win10,979
98,LENOVO S530 - 81J7003NAX COPPER-GOLD,CORE i7 8565U 1.8 GHZ,16GB,512SSD,,13.3 FHD,2GB NVIDIA,FP,Win10,1116
99,LENOVO THIKPAD EDGE E490- 20N8000FAD,CORE i5 8265U 1.6,8GB,1TB,,"14.0""HD",INTEL HD,FP,WIN 10 PRO,801
100,LENOVO THIKPAD EDGE E590- 20NB0003AD,CORE i5 8265U 1.6,8GB,1TB,,"15.6""HD",INTEL HD,FP,WIN 10 PRO,801
101,LENOVO THIKPAD EDGE E480- 20KN0002AD,CORE i7 8550U 1.8,8GB,1TB,,14.0 HD,2GB RADEON,FP,WIN 10 PRO,897
102,LENOVO THIKPAD EDGE E490- 20N8000CAD,CORE i7 8565U 1.8,8GB,1TB,,"14.0""FHD",2GB RADEON,FP,WIN 10 PRO,952
103,LENOVO THIKPAD EDGE E490- 20N8000BAD,CORE i7 8565U 1.8,8GB,256GBSSD,,"14.0""FHD",INTEL HD,FP,WIN 10 PRO,952
104,LENOVO THIKPAD EDGE E590- 20NB0008AD,CORE i7 8565U 1.8,8GB,1TB,,15.6 FHD,2GB RADEON,FP,WIN 10 PRO,952
105,LENOVO YOGA 330 81A6005VAX GRY,CELERON N 4000 1.1 GHZ,4GB,64GB SS,,"11.6""HD TOUCH-FLIP",INTEL HD,,Win10,342
106,LENOVO YOGA520- 81C800NUAX- GRY,CORE i3 7020U 2.3 GHZ,4GB,1TB,,14.0 HD TOUCH- FLIP,INTEL HD,,Win10,507
107,LENOVO YOGA520-14ISK-81C800GAAX-GLD,CORE i3 8130U 2.2 GHZ,4GB,1TB,,14.0 FHD TOUCH- FLIP,INTEL HD,,Win10,562
108,LENOVO YOGA 530- 81EK012PAX -GRY,CORE i3 8130U 2.2 GHZ,4GB,256SSD,,14.0 FHD TOUCH- FLIP,INTEL HD,FP,Win10,616
109,LENOVO YOGA 530 -81EK0154AX -BLUE,CORE i5 8250U 1.6 GHZ,4GB,256SSD,,14.0 HD TOUCH- FLIP,INTEL HD,,Win10,678
110,LENOVO LEGION Y530 81FV00NCAX BLK,CORE i7 8750 H – 2.2 GHZ,16GB,1TB+128S,,15.6 FHD IPS,4GB GTX1050TI,,Win10,1130
